post,topic,audience
"[Video description: Summary of AbbVie's Q2 Financial Results, including EPS Growth, Net Revenues by Therapeutic Area, Adjusted R&D Investment and EPS Guidance Range.]",company announcement // financial results,investors
#ICYMI: This morning we released our Q2 2023 #FinancialResults. Learn more about our performance: https://t.co/LtnEdWcOXA $ABBV #earnings https://t.co/f8fdShO7B7,company announcement // financial results,investors
Join us LIVE: our Q2 2023 #earnings call is starting: https://t.co/ataHGQU2PM https://t.co/B4ppUPaH4m,company announcement // financial results,investors
"[Video description: AbbVie’s Chairman and CEO Richard A. Gonzalez says, ""AbbVie's second quarter results were well ahead of our expectations as we continue to demonstrate outstanding operational execution.""]",company announcement // new hire / employee update,all
Our Q2 2023 #FinancialResults are in. Learn more: https://t.co/OUqqkOFRI7 $ABBV #earnings https://t.co/ehA9rOZGvu,company announcement // financial results,investors
Reminder: Join us tomorrow morning at 8am CT as we share our Q2 2023 #FinancialResults. https://t.co/aftySjKnkf $ABBV #earnings https://t.co/VMEba1qsEK,company announcement // financial results,investors
"@abbvie [Video description: On-screen text reads, “Dermatology News.”]",company announcement // general disease info / awareness,all
[Image description: On-screen text reads: “80% of people living with HCV do not exhibit any symptoms. Early diagnosis of HCV can help prevent certain health problems.”],company announcement // general disease info / awareness,all
JUST IN: New head-to-head #data published in @BrJDermatol from our Phase 4 study in adult patients with moderate plaque #psoriasis eligible for systemic therapy. Read more: https://t.co/d4VTFIixJi https://t.co/o49dZwE2F4,company announcement // research & publications,all
"If left untreated, hepatitis C virus (#HCV) can cause serious complications. That’s why early testing is essential. Learn more about our #research in virology diseases: https://t.co/fOs7mm0ln7 https://t.co/86U9VhoSaJ",company announcement // research & publication,all
"[Video description: Icon symbolizing a globe. On-screen text reads, “Diffuse large B-cell lymphoma cases represent about 30% of all non-Hodgkin’s lymphoma (NHL) cases worldwide, making it the most common type of NHL.”]",company announcement // general diease info / awareness,all
Diffuse large B-cell lymphoma (#DLBCL) is a fast-growing type of #NonHodgkinsLymphoma that affects the lymphatic system. Explore our research for DLBCL and other #BloodCancers: https://t.co/puBet7ZoQU https://t.co/g3PKaqbN9X,company announcement // general disease info / Awareness,all
"Attention U.S. #nonprofits: Our Employee Resource Group community #grants, funded by the AbbVie Foundation, are open for applications through August 11. Learn more: https://t.co/HEmSNQDgfQ https://t.co/LTs5kHwBSX",company announcement // conferences & outreach,all
"Join our #investor call this Thursday, July 27 at 8am CT, where we’ll share our Q2 2023 financial results. https://t.co/qWqiN6Fr71 #earnings $ABBV https://t.co/DI9ED1CJpX",company announcement // financial results,investors
"@abbvie [Video description: On-screen text reads, “Immunology News.”]",company announcement // research & publication,all
NEWS: Our research exploring an investigational treatment in #HidradenitisSuppurativa advances into Phase 3. Read the latest update: https://t.co/Gt9rhgMW4r https://t.co/KmhVVIQ4wx,company announcement // research & publication,all
"[Video description: On-screen text reads, “We are proud to partner with organizations such as the World Hepatitis Alliance. Together, we are working to achieve HCV elimination.”]",partnership // general disease info / awareness,all
"By fostering transformative community partnerships, we continue to work toward hepatitis C virus (#HCV) elimination by 2030. Explore our commitment to the global community: https://t.co/rYu1BWzoec https://t.co/4hyPySAOvp",partnership // general disease info / awareness,all
"[Video description: On-screen text reads, “National Sales Network Conference, August 2-4, 2023, Booth 510, Grand Hall. Marcus Arnwine, Head of Sales, Urology, AbbVie.”]",partnership // general disease info / awareness,all
"If you’re attending #NSN2023, find us at Booth 510 to meet our team of employee chapter leads. Register in advance for our onsite events, including VP Panel 1, to hear from Marcus Arnwine, our head of sales, urology. More: https://t.co/kSZ0VWELTJ https://t.co/PPCY2bcsUr",company announcement // conferenes & outreach,all
"@abbvie [Video description: On-screen text reads, “Oncology News” while a small, magnifying circle moves across the words.]",company announcement // research & publication,all
"JUST IN: The @EMA_News’ #CHMP announced a positive opinion for our investigational medicine in relapsed/refractory diffuse large B-cell lymphoma (#DLBCL), developed in collaboration with @Genmab. Read more: https://t.co/X2M3HlO56B https://t.co/PcTQ0I71Zb",company announcement // research & publication,all
"@LonelyGeekess Hi Lonely Geekess, we saw your tweet and want to connect. Can you please follow us so we can DM you with further assistance?",company announcement // other,all
[Video description: Photos and video of AbbVie employees volunteering for Week of Possibilities. Featuring number of employees and countries that participated; number of projects worked on; and overview of types of projects.],company announcement // conferenes & outreach,all
"~14K employees, 56 countries and territories, 250+ service projects. See the impact of this year’s Week of Possibilities, our annual employee #volunteer initiative. #AbbVieGivesBack https://t.co/ghMC2tngpb",company announcement // other,all
"Thanks for following along with our #AtlanticProgress session, and thanks to Nicholas Donoghoe for the inspiring message. Learn more about our R&D: https://t.co/OHKWpdAjlr",company announcement // other,all
"""...No matter what your industry is...what is that big idea that you have today that you wish you could roll out tomorrow? I collectively believe that all of us can...make less be more."" #AtlanticProgress",company announcement // other,all
"""We are focused on three guiding principles...Medicines that raise the standard of care...Making sure medicines are accessible & support patients in navigating the healthcare system. Finally, treatments that give patients lasting impact – striving for a cure."" #AtlanticProgress",company announcement // other,all
"""It takes 10-15 years to develop the next medicine. Patients can’t wait. At AbbVie, we’ve put a challenge to ourselves... to cut that in half."" #AtlanticProgress",partnership // general disease info / awareness,all
"""It can be summed up as the less time it takes to find out what’s wrong... get on the right medicine... the more time you have to be yourself, to spend time with your family and friends. At AbbVie, we are dedicated to that moment."" #AtlanticProgress",partnership // general disease info / awareness,all
"""Imagine yourself in a doctor’s office, an exam room… and then you hear the words ""cancer"" or ""dementia."" All of a sudden...everything goes still... that’s when you're thrust into the healthcare paradox where less is more."" – Nicholas Donoghoe #AtlanticProgress",partnership // general disease info / awareness,all
"Starting Now: Follow along as we share live updates from our session at the #AtlanticProgress Summit, “The Healthcare Paradox: When Less = More.” Presenting today is Nicholas Donoghoe, our Executive VP, Chief Business and Strategy Officer.",partnership // general disease info / awareness,all
